rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
56,sarsa_026,sarsa,50000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.101483,-0.10182214293571361,-0.1011438570642864,0.416983,0.5671135802000663
57,sarsa_042,sarsa,100000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.101484,-0.10186973455098322,-0.10109826544901679,0.416958,0.9464215370999227
58,sarsa_047,sarsa,100000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.101484,-0.10186973455098322,-0.10109826544901679,0.416958,0.9564783035999881
59,q_learning_082,q_learning,100000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.101493,-0.10185489064548409,-0.10113110935451591,0.416947,0.9720688231001077
60,q_learning_071,q_learning,50000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.101504,-0.10181596512739585,-0.10119203487260414,0.41697,0.5503893386999608
61,q_learning_076,q_learning,50000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.101504,-0.10181596512739585,-0.10119203487260414,0.41697,0.5387280605999422
62,monte_carlo_003,monte_carlo,200000,"epsilon=0.2, gamma=1.0",10,-0.101507,-0.10198506904959198,-0.10102893095040802,0.416992,2.2851142022000657
63,q_learning_091,q_learning,50000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.101512,-0.10197657283337612,-0.10104742716662389,0.416953,0.5076526527999704
64,q_learning_096,q_learning,50000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.101512,-0.10197657283337612,-0.10104742716662389,0.416953,0.5492144426000323
65,q_learning_061,q_learning,50000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.101513,-0.10186119724703743,-0.10116480275296258,0.416969,0.49174348359997566
66,q_learning_066,q_learning,50000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.101513,-0.10186119724703743,-0.10116480275296258,0.416969,0.5142783003000659
67,sarsa_051,sarsa,50000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.101527,-0.10197526523120928,-0.10107873476879073,0.416943,0.48031466519996685
68,sarsa_056,sarsa,50000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.101527,-0.10197526523120928,-0.10107873476879073,0.416943,0.5336188630999004
69,monte_carlo_016,monte_carlo,50000,"epsilon=1.0->0.05 linear (80%), gamma=1.0",10,-0.101548,-0.10180343244586387,-0.10129256755413613,0.417022,0.792907076300071
70,sarsa_031,sarsa,50000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.101553,-0.10183251750205588,-0.10127348249794413,0.416949,0.5154278796000199
71,sarsa_036,sarsa,50000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.101553,-0.10183251750205588,-0.10127348249794413,0.416949,0.4874413582999296
72,monte_carlo_012,monte_carlo,100000,"epsilon=0.3, gamma=1.0",10,-0.101723,-0.1023379810390573,-0.1011080189609427,0.416923,1.3714646169000388
73,monte_carlo_017,monte_carlo,100000,"epsilon=1.0->0.05 linear (80%), gamma=1.0",10,-0.10173499999999999,-0.10229280473604618,-0.1011771952639538,0.41691500000000004,1.377349594999896
74,monte_carlo_002,monte_carlo,100000,"epsilon=0.2, gamma=1.0",10,-0.101788,-0.1021912056604541,-0.1013847943395459,0.416886,1.0762623361000352
75,monte_carlo_007,monte_carlo,100000,"epsilon=0.25, gamma=1.0",10,-0.101794,-0.10218866092428254,-0.10139933907571745,0.416866,1.4476075550999212
76,monte_carlo_011,monte_carlo,50000,"epsilon=0.3, gamma=1.0",10,-0.101802,-0.10220289121073484,-0.10140110878926517,0.416894,0.7190141910000876
77,monte_carlo_008,monte_carlo,200000,"epsilon=0.25, gamma=1.0",10,-0.101814,-0.10240590846199203,-0.10122209153800797,0.416876,2.7289582013000198
78,q_learning_060,q_learning,20000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.101837,-0.10238671739988228,-0.10128728260011771,0.416886,0.21658650400004262
79,q_learning_065,q_learning,20000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.101837,-0.10238671739988228,-0.10128728260011771,0.416886,0.18633354190001228
80,sarsa_020,sarsa,20000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.101841,-0.10238401748021793,-0.10129798251978207,0.416883,0.1960026901999754
81,sarsa_025,sarsa,20000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.101841,-0.10238401748021793,-0.10129798251978207,0.416883,0.248499422399982
82,sarsa_050,sarsa,20000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.101862,-0.10244018929556946,-0.10128381070443053,0.416864,0.18594971290003742
83,sarsa_055,sarsa,20000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.101862,-0.10244018929556946,-0.10128381070443053,0.416864,0.18928204360004203
84,q_learning_090,q_learning,20000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.101863,-0.10244225323282079,-0.1012837467671792,0.416864,0.19525440979996347
85,q_learning_095,q_learning,20000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.101863,-0.10244225323282079,-0.1012837467671792,0.416864,0.21998170250003568
86,q_learning_080,q_learning,20000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.10188,-0.10243727456787476,-0.10132272543212524,0.416866,0.2204401248999602
