rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
73,q_learning_071,q_learning,200000,"epsilon=0.1, alpha=0.1, gamma=1.0",5,-0.07974,-0.08328570446597006,-0.07619429553402995,0.4185,31.862676363600123
74,q_learning_060,q_learning,20000,"epsilon=0.1, alpha=0.01, gamma=1.0",5,-0.08034,-0.08760856162937344,-0.07307143837062655,0.41926,1.8375702093999735
75,sarsa_016,sarsa,20000,"epsilon=0.05, alpha=0.05, gamma=1.0",5,-0.08123999999999999,-0.08858532064378404,-0.07389467935621595,0.41686,9.13353751600007
76,sarsa_020,sarsa,20000,"epsilon=0.05, alpha=0.1, gamma=1.0",5,-0.08286,-0.08530458441457849,-0.08041541558542152,0.4166,2.2424924534000183
77,sarsa_012,sarsa,20000,"epsilon=0.05, alpha=0.01, gamma=1.0",5,-0.08410000000000001,-0.09145013066550521,-0.0767498693344948,0.41666,5.1268404098000016
78,q_learning_056,q_learning,20000,"epsilon=0.05, alpha=0.1, gamma=1.0",5,-0.08526,-0.09225354806661111,-0.0782664519333889,0.41368,5.609364479399983
79,q_learning_048,q_learning,20000,"epsilon=0.05, alpha=0.01, gamma=1.0",5,-0.08596,-0.095849671347421,-0.07607032865257898,0.4169,9.825695149600005
80,sarsa_044,sarsa,20000,"epsilon=0.2, alpha=0.1, gamma=1.0",5,-0.08656,-0.0947074726977143,-0.07841252730228569,0.41432,2.060918885800038
81,sarsa_032,sarsa,20000,"epsilon=0.1, alpha=0.1, gamma=1.0",5,-0.08666,-0.09327412157130484,-0.08004587842869516,0.41394,4.949538065799925
82,monte_carlo_008,monte_carlo,20000,"epsilon=0.2, gamma=1.0",5,-0.08716,-0.09488115624501926,-0.07943884375498074,0.41628,2.943289410400007
83,monte_carlo_004,monte_carlo,20000,"epsilon=0.1, gamma=1.0",5,-0.08852,-0.09067813712261293,-0.08636186287738708,0.41688,5.825517204200014
84,monte_carlo_000,monte_carlo,20000,"epsilon=0.05, gamma=1.0",5,-0.0939,-0.10006169885664659,-0.0877383011433534,0.41368,6.553037252399986
