rank,plot_label,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
35,P03,double_dqn_001,double_dqn,200000,"epsilon=1.0->0.01 linear (50%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.053956,-0.06291258796158447,-0.04499941203841552,0.427008,107.888971197
36,P13,double_dqn_029,double_dqn,200000,"epsilon=1.0->0.1 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.054079999999999996,-0.06083192832544895,-0.04732807167455104,0.42673,102.41823952159976
37,P07,double_dqn_041,double_dqn,200000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.0003, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.05409,-0.057346762800082315,-0.05083323719991768,0.42604,97.65437661220058
38,P13,double_dqn_030,double_dqn,500000,"epsilon=1.0->0.1 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.05449,-0.06060683311526479,-0.048373166884735204,0.426294,271.3165386261997
39,P04,double_dqn_014,double_dqn,500000,"epsilon=1.0->0.05 linear (50%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.054598,-0.061759404967630306,-0.047436595032369695,0.425858,282.53428064319996
40,P09,double_dqn_046,double_dqn,500000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=256, learning_rate=0.0003, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.054606,-0.05874992672637922,-0.05046207327362078,0.425512,416.0458172653998
41,P09,double_dqn_045,double_dqn,200000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=256, learning_rate=0.0003, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.054656,-0.06106542356796616,-0.048246576432033846,0.425788,150.02805079919963
42,P04,double_dqn_012,double_dqn,100000,"epsilon=1.0->0.05 linear (50%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.054658,-0.058395131542560416,-0.05092086845743958,0.426734,50.76906070500017
43,P11,double_dqn_036,double_dqn,100000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=64, learning_rate=0.0003, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.054786,-0.05764343935886661,-0.051928560641133395,0.42560200000000004,41.96976523240009
44,P14,double_dqn_010,double_dqn,500000,"epsilon=1.0->0.01 linear (100%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.054918,-0.06053057695879531,-0.04930542304120469,0.4265,268.33173197020005
45,P02,double_dqn_059,double_dqn,1000000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=128, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.054976000000000004,-0.05878962111301057,-0.051162378886989435,0.426124,775.988443713601
46,P05,double_dqn_026,double_dqn,500000,"epsilon=1.0->0.1 linear (50%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.055004000000000004,-0.06208804738956482,-0.04791995261043519,0.424326,284.95812257399973
47,P12,double_dqn_048,double_dqn,100000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=64, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.05504,-0.06127359812499972,-0.04880640187500028,0.42515000000000003,42.44232996260034
48,P01,double_dqn_062,double_dqn,500000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=128, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.0003, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.055088,-0.05953935979296214,-0.050636640207037856,0.425464,367.1558257035998
49,P02,double_dqn_058,double_dqn,500000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=128, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.055098,-0.05780290225893654,-0.05239309774106346,0.42657,384.70911772399995
50,P16,double_dqn_033,double_dqn,200000,"epsilon=1.0->0.1 linear (100%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.055174,-0.05967181609690748,-0.050676183903092524,0.42594,106.11569989099989
51,P14,double_dqn_008,double_dqn,100000,"epsilon=1.0->0.01 linear (100%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.055352,-0.05951943844854366,-0.051184561551456335,0.425364,48.219342105800024
52,P08,double_dqn_016,double_dqn,100000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.05545,-0.059832772123667846,-0.05106722787633215,0.426586,49.10725806859991
53,P05,double_dqn_025,double_dqn,200000,"epsilon=1.0->0.1 linear (50%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.055541999999999994,-0.06207552821975997,-0.049008471780240016,0.425002,106.30357222279981
54,P01,double_dqn_063,double_dqn,1000000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=128, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.0003, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.055686,-0.05987669634614583,-0.05149530365385417,0.425298,744.4578239089999
55,P06,double_dqn_007,double_dqn,1000000,"epsilon=1.0->0.01 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.055948,-0.061379111547961426,-0.05051688845203857,0.424486,559.6910665949999
56,P02,double_dqn_056,double_dqn,100000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=128, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.056238,-0.06127718782567192,-0.05119881217432809,0.425422,71.84188593479993
57,P16,double_dqn_035,double_dqn,1000000,"epsilon=1.0->0.1 linear (100%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.056294000000000004,-0.06467688952531286,-0.04791111047468715,0.424318,547.3756001519996
58,P05,double_dqn_027,double_dqn,1000000,"epsilon=1.0->0.1 linear (50%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.056444,-0.06216634612808418,-0.05072165387191582,0.42512,570.1457188588005
59,P05,double_dqn_024,double_dqn,100000,"epsilon=1.0->0.1 linear (50%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.056999999999999995,-0.06450157065900201,-0.049498429340997976,0.42471000000000003,50.46997178459988
60,P08,double_dqn_017,double_dqn,200000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.057118,-0.06124775023244748,-0.05298824976755252,0.424284,102.79736253259998
61,P04,double_dqn_013,double_dqn,200000,"epsilon=1.0->0.05 linear (50%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.057554,-0.06528056412602652,-0.04982743587397348,0.423998,106.45809037920007
62,P10,double_dqn_053,double_dqn,200000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=256, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.058056,-0.06317269853339046,-0.05293930146660955,0.423518,174.24604481539865
63,P06,double_dqn_004,double_dqn,100000,"epsilon=1.0->0.01 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.058088,-0.06439984031534385,-0.051776159684656146,0.424478,49.39658248280007
64,P15,double_dqn_021,double_dqn,200000,"epsilon=1.0->0.05 linear (100%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.060406,-0.06802353590248185,-0.052788464097518153,0.423232,100.95412564540001
